"vague","grappe","menage","s16aq02","s16a01a","s16aq03","s16a01b","s16aq05","s16aq07","s16aq08","s16aq09a","s16aq09b","s16aq10","s16aq12","s16aq13","s16aq14__0","s16aq14__1","s16aq14__2","s16aq14__3","s16aq14__4","s16aq14__5","s16aq14__6","s16aq14__7","s16aq14__8","s16aq14__9","s16aq14__10","s16aq15","s16aq16","s16aq16a","s16aq17","s16aq18","s16aq19","s16aq20","s16aq21","s16aq22","s16aq23","s16aq24a","s16aq24b","s16aq25","s16aq26","s16aq27","s16aq28","s16aq29a1","s16aq29a2","s16aq29b1","s16aq29b2","s16aq29c1","s16aq29c2","s16aq29d1","s16aq29d2","s16aq30","s16aq31a1","s16aq31a2","s16aq31b1","s16aq31b2","s16aq31c1","s16aq31c2","s16aq31d1","s16aq31d2","s16aq32","s16aq34","s16aq36","s16aq38","s16aq40","s16aq42","s16aq44","s16aq45","s16aq47","s16aq48","s16aq33a_1","s16aq33b_1","s16aq33a_2","s16aq33b_2","s16aq33a_3","s16aq33b_3","s16aq33a_4","s16aq33b_4","s16aq33a_5","s16aq33b_5","s16aq33a_6","s16aq33b_6","s16aq33a_7","s16aq33b_7","s16aq33a_8","s16aq33b_8","s16aq33a_9","s16aq33b_9","s16aq33a_10","s16aq33b_10","s16aq33a_11","s16aq33b_11","s16aq33a_12","s16aq33b_12","s16aq33a_13","s16aq33b_13","s16aq33a_14","s16aq33b_14","s16aq33a_15","s16aq33b_15","s16aq35a_1","s16aq35b_1","s16aq35a_2","s16aq35b_2","s16aq35a_3","s16aq35b_3","s16aq35a_4","s16aq35b_4","s16aq35a_5","s16aq35b_5","s16aq35a_6","s16aq35b_6","s16aq35a_7","s16aq35b_7","s16aq35a_8","s16aq35b_8","s16aq35a_9","s16aq35b_9","s16aq35a_10","s16aq35b_10","s16aq37a_1","s16aq37b_1","s16aq37a_2","s16aq37b_2","s16aq37a_3","s16aq37b_3","s16aq37a_4","s16aq37b_4","s16aq37a_5","s16aq37b_5","s16aq37a_6","s16aq37b_6","s16aq37a_7","s16aq37b_7","s16aq37a_8","s16aq37b_8","s16aq37a_9","s16aq37b_9","s16aq37a_10","s16aq37b_10","s16aq37a_11","s16aq37b_11","s16aq39a_1","s16aq39b_1","s16aq39c_1","s16aq39a_2","s16aq39b_2","s16aq39c_2","s16aq39a_3","s16aq39b_3","s16aq39c_3","s16aq39a_4","s16aq39b_4","s16aq39c_4","s16aq41a_1","s16aq41b_1","s16aq41c_1","s16aq41a_2","s16aq41b_2","s16aq41c_2","s16aq41a_3","s16aq41b_3","s16aq41c_3","s16aq41a_4","s16aq41b_4","s16aq41c_4","s16aq43a_1","s16aq43b_1","s16aq43c_1","s16aq43a_2","s16aq43b_2","s16aq43c_2","s16aq43a_3","s16aq43b_3","s16aq43c_3","s16aq43a_4","s16aq43b_4","s16aq43c_4","s16aq35a_11","s16aq35b_11","s16aq35a_12","s16aq35b_12","s16aq35a_13","s16aq35b_13","s16aq35a_14","s16aq35b_14","s16aq37a_12","s16aq37b_12","s16aq37a_13","s16aq37b_13","s16Aq00","s16aq04","s16aq06","s16aq11"
1,58,12,1,"CHAMPS1",1,"MIL",1,2,1,0.5,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,20,1,5,12,6,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,1,3,1,2.3421,,1,60,7,25,8,30,,,,,,,,,,,,,,,,,,,,,,,,,1,60,7,60,8,60,,,,,,,,,,,,,,,1,15,7,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,58,12,1,"CHAMPS1",3,"ARACHIDE",1,1,10,0.25,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,3,21,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,3,1,0.6237,,1,4,7,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,4,8,4,,,,,,,,,,,,,,,1,1,7,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,58,12,2,"CHAMPS2",2,"PARCELLE2",1,1,1,0.25,1,1,3,7,,,,,,,,,,,,2,,,4,1,2,3,30,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,2,2,2,1,2,1,0.6422,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,,,0,,,0,,,,,,,,,,,,,,,1,10,10,10
2,59,1,1,"CHAMP AÉROPORTS",2,"PARCELLE 2",1,1,10,0.5,1,2,,,,,,,,,,,,,,,,,4,1,2,3,15,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,1,2,2,1,0.8654,,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,9,,,,,,,,,,,,,,,,,1,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
2,59,1,1,"CHAMP AÉROPORTS",1,"PARCELLE 1",1,1,1,1.5,1,2,,,,,,,,,,,,,,,,,4,1,2,3,15,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,1,1,2,1,1.3524,,1,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,30,,,,,,,,,,,,,,,,,1,21,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3000,0,,,0,,,0,,,1,1,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,
2,59,2,1,"1",2,"SORGHO",2,1,2,1,1,2,,,,,,,,,,,,,,,,,4,1,2,2,35,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,1,1,2,1,1.5345,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,0,,,0,,,3,7,0,0,,,0,,,0,,,3,7,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,
2,59,2,1,"1",1,"MIL",2,1,1,2,1,2,,,,,,,,,,,,,,,,,4,1,2,2,35,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,1,1,2,1,4.2352,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,,,1,20,,,,,,,,,,,,,,,,,,,,,3,3,0,0,,,0,,,0,,,3,14,0,0,,,0,,,0,,,3,20,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,
2,59,2,1,"1",3,"NIÉBÉ",2,1,8,600,2,2,,,,,,,,,,,,,,,,,4,2,2,2,35,2,,,,2,,2,,,,,,,,,,1,1,3,0,,0,,0,,1,1,1,1,1,1,2,1,0.9941,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,0,,,0,,,3,3,0,0,,,0,,,0,,,3,1,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,
2,59,3,1,"CHAMP AREWA",1,"PARCELLE  MIL",1,1,1,1,1,1,2,7,,,,,,,,,,,,2,,,4,4,2,3,30,2,,,,2,,1,1,2,4,0,,0,,0,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.6166,,1,20,2,20,3,20,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,17,,,,,,,,,,,,,,,,,1,5,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
2,59,5,1,"1",1,"Mil",1,1,1,1.5,1,1,2,7,,,,,,,,,,,,2,,,4,4,2,2,30,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,3.0125,,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,2,14,,,,,,,,,,,,,,,,,1,10,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1
2,59,5,1,"1",2,"SORGHO",1,1,2,1,1,1,2,7,,,,,,,,,,,,2,,,4,4,2,2,35,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,1.5566,,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,5,,,,,,,,,,,,,,,,,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
2,59,6,2,"2",2,"NIÉBÉ",1,1,8,1,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,20,2,,,,2,,2,,,,,,,,,,1,2,3,0,,0,,0,,1,1,1,2,2,2,2,1,1.2255,,1,2,2,1,5,1,6,2,7,1,8,1,11,1,12,1,13,2,,,,,,,,,,,,,1,10,2,7,6,10,7,10,8,7,13,10,,,,,,,,,2,7,5,7,6,7,7,7,8,7,11,7,12,7,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
2,59,6,1,"1",1,"MIL",1,1,1,3,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,15,2,,,,2,,1,2,7,4,0,,0,,0,,1,3,3,0,,0,,0,,1,1,1,2,2,2,2,1,2.8599,,1,5,2,5,5,5,6,5,7,5,8,5,11,5,12,5,13,5,,,,,,,,,,,,,1,20,2,20,6,20,7,20,8,20,13,20,,,,,,,,,1,15,2,10,6,15,7,10,8,10,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
2,59,6,2,"2",1,"SORGHO",1,1,2,1,1,1,2,7,,,,,,,,,,,,2,,,4,3,2,2,20,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,1.5577,,1,3,2,2,5,2,6,2,7,2,8,2,11,2,12,2,13,2,,,,,,,,,,,,,1,6,2,6,5,6,6,6,7,6,8,6,13,6,,,,,,,1,2,2,2,6,3,7,3,8,2,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
2,59,7,1,"CHAMP DU MIL",1,"PARCELLE",1,1,1,1,1,2,,,,,,,,,,,,,,,,,4,1,2,3,17,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,1,1,2,1,1.0024,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,0,,,0,,,2,2,0,0,,,1,4,0,0,,,0,,,0,,,1,2,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,
2,59,8,2,"CHAMP DU MIL",1,"PARCELLE",1,1,1,3,1,2,,,,,,,,,,,,,,,,,4,4,2,2,45,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,1,1,2,1,4.0037,,1,15,2,8,6,5,9,10,,,,,,,,,,,,,,,,,,,,,,,1,30,2,20,7,15,9,30,,,,,,,,,,,,,1,25,2,20,6,5,7,20,9,25,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,,,0,,,0,,,1,3,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,
2,59,9,1,"CHAMP",1,"PARCELLE",1,1,1,2,1,2,,,,,,,,,,,,,,,,,4,4,2,3,20,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,3.008,,1,30,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,30,,,,,,,,,,,,,,,,,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
2,59,10,1,"CHAMP DU MIL",1,"PARCELLE",1,1,1,1,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,3,60,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,1,1,2,1,1.5137,,1,5,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,15,3,7,,,,,,,,,,,,,,,1,18,2,15,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,0,,,0,,,0,,,1,2,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
2,59,11,1,"CHAMP",1,"PARCELLE",1,1,1,3,1,1,2,7,,,,,,,,,,,,2,,,4,4,2,1,30,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,2,,3,1,15,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,1,,,,,,,,,,,,,,,,,1,21,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
2,59,12,1,"CHAMP",1,"PARCELLE",1,1,1,2,1,2,,,,,,,,,,,,,,,,,4,1,2,2,60,1,1,1,2,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,2,2,2,1,3.2899,,1,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,2,10,,,,,,,,,,,,,,,,,1,15,2,15,,,,,,,,,,,,,,,,,,,2,5,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,61,7,1,"CHAMP A ISSARI MILLE DOUBOU",1,"PERCELE  MIXTE",1,2,1,2,1,2,,,,,,,,,,,,,,,,15000,4,1,2,2,120,1,3,15,6,2,,2,,,,,,,,,,1,5,3,0,,0,,0,,1,1,1,2,2,2,2,2,,4,1,10,11,15,12,15,,,,,,,,,,,,,,,,,,,,,,,,,1,20,10,7,11,21,12,25,,,,,,,,,,,,,1,10,6,5,9,3,10,2,11,10,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,62,9,1,"MADOURI",1,"CHAMP  DE  MIL",1,1,1,1,1,2,,,,,,,,,,,,,,,,2000,4,1,2,1,30,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,2,2,2,2,2,2,2,1,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,62,10,1,"CHAMPS À MAINI",1,"PARCELE MIL",1,1,1,2,1,1,2,7,,,,,,,,,,,,2,,0,4,3,2,3,80,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,1,1,2,2,,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,,,,,4,2,0,0,,,0,,,0,,,0,,,0,,,4,3,12000,0,,,3,7,15000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,62,11,1,"TCHASSA  BASSA",1,"CHAMP POIVRONS",1,1,17,2.5,1,1,2,7,,,,,,,,,,,,2,,60000,3,3,5,1,20,2,,,,2,,1,2,45,3,0,,0,,45,3,1,40,3,0,,20,3,0,,1,1,1,2,2,1,2,2,,4,1,30,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,50,5,2000,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,63,2,1,"AHARAM CHAMP 1",1,"1",1,1,3,1,1,2,,,,,,,,,,,,,,,,,2,1,2,2,60,2,,,,2,,1,3,75,1,0,,100,1,100,1,1,1,3,0,,1,3,0,,1,1,1,1,1,1,2,2,,5,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,7,4,30000,0,,,0,,,0,,,2,2,20000,0,,,0,,,0,,,5,4,50000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,
1,63,8,1,"CHAMP DE GOZAL",1,"PARCELLE MIL ET NIEBE",2,2,1,10,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,20,1,3,20,6,1,10,1,3,1.5,3,0,,0,,0,,2,,,,,,,,,1,1,1,1,1,1,4,1,12.875,,2,11,3,5,4,10,,,,,,,,,,,,,,,,,,,,,,,,,2,30,3,15,4,15,,,,,,,,,,,,,,,2,10,3,10,4,12,,,,,,,,,,,,,,,,,5,5,50000,0,,,0,,,0,,,10,7,210000,5,4,0,4,5,20000,2,4,0,6,15,180000,8,4,0,6,4,48000,5,2,0,,,,,,,,,,,,,1,4,,1
1,63,8,1,"CHAMP DE GOZAL",2,"PARCE SORGO ET ARACHID",2,2,2,8,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,60,1,3,10,6,1,4,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,1,1,2,2,,5,2,5,3,5,4,15,,,,,,,,,,,,,,,,,,,,,,,,,2,10,3,10,4,19,,,,,,,,,,,,,,,2,3,3,14,4,15,,,,,,,,,,,,,,,,,5,4,30000,0,,,2,3,18000,0,,,6,5,60000,2,1,4000,0,,,0,,,5,5,50000,0,,,2,4,0,0,,,,,,,,,,,,,,,1,4,,1
1,63,11,1,"CHAMPS DE ''GAGAMARÉ ''",1,"PARCELLE EN MIL",1,1,1,3,1,2,,,,,,,,,,,,,,,,,1,1,2,2,40,1,3,5,5,2,,1,2,1,3,0,,0,,10,1,1,2,3,5,3,0,,0,,1,1,1,1,1,1,2,2,,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,2,10,20000,0,,,0,,,0,,,7,10,140000,0,,,0,,,0,,,5,7,7000,0,,,0,,,0,,,,,,,,,,,,,,,1,2,1,
1,64,1,1,"CHAMP MIL",1,"CHAMP MIL",1,1,1,1.5,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,30,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.678,,1,6,2,30,4,6,5,6,,,,,,,,,,,,,,,,,,,,,,,1,30,4,30,5,30,,,,,,,,,,,,,,,1,3,2,3,3,3,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,3,1,"CHAMP DE NIEBE",1,"CHAMP NIÉBÉ",1,1,8,0.5,1,2,,,,,,,,,,,,,,,,,4,1,2,2,10,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,2,1,1,1,2,2,2,1,0.3785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,,,,,1,7,2,7,4,7,5,7,6,7,,,,,,,,,,,,,0,,,0,,,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,64,4,1,"CHAMPS",1,"1",1,1,1,1,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,3,40,1,1,1,5,2,,2,,,,,,,,,,2,,,,,,,,,1,2,1,2,2,2,2,1,0.3302,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,5,2,"CHAMPS 2",1,"PARCEL NIÉBÉ ET SORGO",1,2,8,2,1,1,2,7,,,,,,,,,,,,2,,,4,3,2,2,11,1,2,6,6,2,,2,,,,,,,,,,1,6,3,3,3,0,,0,,1,1,1,2,2,2,2,1,1.0041,,1,10,5,5,6,5,7,5,8,5,9,3,10,11,,,,,,,,,,,,,,,,,1,16,2,6,4,2,5,11,6,12,7,12,8,12,9,3,10,12,,,1,15,2,15,4,5,5,15,6,8,7,11,8,5,9,3,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,5,1,"CHAMPS 1",1,"PARCEL MIL ET NIEBE",1,2,1,2,1,1,2,7,,,,,,,,,,,,2,,,4,3,2,2,10,1,5,6,6,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,1,2,2,2,1,1.7641,,1,10,5,6,6,8,7,8,8,10,9,6,10,10,,,,,,,,,,,,,,,,,1,20,2,15,5,5,6,6,7,6,8,4,9,3,10,15,,,,,1,8,2,9,5,4,6,5,7,6,8,6,9,12,10,20,,,,,,,0,,,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,6,1,"CHAMPS MIL",1,"PERCLE DU MIL",1,2,1,4,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,1,15,1,2,10,6,2,,2,,,,,,,,,,1,5,3,2,3,0,,0,,1,1,1,2,1,1,2,1,1.6178,,1,12,6,10,7,10,8,8,9,15,10,10,,,,,,,,,,,,,,,,,,,1,20,2,20,5,5,6,15,7,10,8,18,9,18,10,16,,,,,1,14,2,6,7,8,8,6,9,9,10,15,,,,,,,,,,,,,,,,,,,,,,,3,5,0,0,,,0,,,0,,,3,2,0,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,64,6,1,"CHAMPS MIL",2,"PERCEL DU NIEBE",1,1,8,1.5,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,15,1,2,5,6,2,,2,,,,,,,,,,1,1,3,5,3,5,3,0,,1,1,1,2,1,2,2,1,1.8656,,1,3,2,3,6,3,7,3,8,3,9,2,10,3,,,,,,,,,,,,,,,,,1,3,2,3,6,4,7,4,8,2,9,5,10,5,,,,,,,1,5,2,10,5,5,6,5,7,4,8,5,9,4,10,6,,,,,,,,,,,,,,,,,,,1,1,0,0,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,7,2,"CHAMP2",1,"CHAMPS NIEBÉ",1,1,37,5,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,16,2,,,,2,,2,,,,,,,,,,1,10,3,0,,0,,0,,1,1,1,2,2,2,2,1,2.2412,,1,6,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,10,8,10,9,10,,,,,,,,,,,,,1,15,2,15,8,15,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,7,1,"CHAMPS 1",1,"MIL",1,1,1,7,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,15,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,2.0121,,1,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,2,20,8,20,9,20,,,,,,,,,,,,,1,5,2,5,8,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,8,1,"CHAMPS",1,"MIL",1,1,1,1,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,5,1,2,10,2,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.8542,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,9,1,"CHAMPS",1,"1",1,1,1,1,1,2,,,,,,,,,,,,,,,,,4,1,2,3,20,1,2,1.5,5,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.5675,,1,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,64,10,1,"CHAMPS DU MIL",1,"CHAMP MIL",1,1,1,1,1,1,5,7,,,,,,,,,,,,2,,,4,1,2,2,2,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.3584,,1,3,2,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,,1,21,7,21,,,,,,,,,,,,,,,,,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,11,1,"CHAMP DE KOULOU KOULOU",2,"PARCELLE DE NIEBE ET OSEILLE",1,2,8,1.5,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,2,10,1,2,5,5,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,2.0144,,1,10,2,10,5,5,6,3,,,,,,,,,,,,,,,,,,,,,,,1,12,2,15,5,5,6,5,,,,,,,,,,,,,1,5,2,15,5,6,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,11,1,"CHAMP DE KOULOU KOULOU",1,"PARCELLE DE MIL ET SORGO",1,2,1,3,1,1,2,7,,,,,,,,,,,,2,,,4,3,2,2,10,1,2,5,5,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,1,2,2,1,3.112,,1,12,2,12,5,12,6,12,,,,,,,,,,,,,,,,,,,,,,,1,20,2,20,5,10,6,10,,,,,,,,,,,,,1,15,2,12,5,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,64,12,1,"CHAMP DE MIL",1,"CHAMP  MIL",1,1,1,1,1,4,,,,,,,,,,,,,,,,,4,1,2,2,30,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,2,2,2,2,2,2,1,0.9801,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
2,65,1,1,"CHAMP",1,"PARCELLE 1",1,1,1,3,1,1,2,7,,,,,,,,,,,,2,,,4,1,2,3,60,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,1,2,2,2,,5,1,15,3,10,9,8,,,,,,,,,,,,,,,,,,,,,,,,,1,30,3,15,9,12,,,,,,,,,,,,,,,1,20,3,15,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
